fine_label	utterance
ground_service	show me the ground transportation at denver
flight	show me the flights from baltimore to boston
flight	phoenix to newark on wednesday
flight	please give me the flights from boston to pittsburgh on thursday of next week
airfare	show me round trip first class tickets from new york to miami
flight	what flights from kansas city to denver after 845 in the morning
flight	please show me the round trip flights from st. petersburg to toronto
unk	i 'm sorry i wanted to fly twa is there a flight between oakland and boston with a stopover in dallas fort worth on twa
flight	show me all flights from charlotte to columbus
flight	i need a flight from san diego to indianapolis leaving in the afternoon on tuesday
flight	show me all the flights from burbank
flight	i need a round trip flight from cincinnati to san jose california
airfare	what is the round trip first class fare on united from boston to san francisco
flight	i need to go from boston to atlanta in the same day find me the earliest flight from boston
airfare	show me all the one way fares from tacoma to montreal
flight	show me all flights from dallas to san francisco
flight	i would like to see the flights from denver to philadelphia
flight	information on first class round trip from pittsburgh to san francisco
flight	is there a flight between washington dc and san francisco on us air at 8 am
flight	is twa flight 497766 from st. petersburg to milwaukee with one stop available tomorrow morning
flight	please list pm flights from boston pittsburgh
flight	give me the earliest flight tomorrow from st. petersburg to milwaukee on a airline other than twa
flight	show me flights from denver to boston on tuesday
flight	show me the flights from san francisco to boston
ground_service	ground transportation minneapolis
airline	what airlines fly between boston and atlanta
city	what time zone is denver in
abbreviation	what is fare class h
flight	what flights go from boston to atlanta
flight	please show me flights which cost less than or equal to 466 dollars from new york to miami leaving on a tuesday
flight	what are my options for a minneapolis back to indianapolis flight around noontime
flight	flights from denver to philadelphia include fares
flight	what is the first flight from boston to atlanta and what is the last flight from atlanta to boston
flight	what flights are there from pittsburgh to san francisco on friday
unk	show me the flights from baltimore to boston
airfare	show me the prices of first class tickets on us air round trip from cleveland to miami
ground_service	i need ground transportation in dallas please show me what 's available
flight	show me next wednesday 's flights between phoenix and milwaukee
flight	i 'd like to make a round trip from la to newark by way of charlotte
flight	show flights from pittsburgh into san francisco arriving after 12 noon
flight	flights from washington august second
flight	what flights are there from denver to atlanta
flight	all flights from boston to washington dc on the tenth of november
flight	i need a flight from denver to philadelphia on saturday
flight	show me all flights from boston to dfw
flight	list all us air flights from miami to cleveland leaving on sunday afternoon
flight	list all flights arriving and departing at general mitchell international
flight	flights from dc to denver
flight	from pittsburgh to baltimore
airfare	how much is a first class ticket from boston to san francisco
flight	now i 'd like information on flights from denver to san francisco
flight	what flights available between pittsburgh and baltimore on august eleventh
flight	show me all daily flights between milwaukee and orlando
flight	is there a flight from boston to san francisco making a stopover in dallas fort worth
flight	show flights and fare information from pittsburgh connecting through denver to oakland
airfare	i need one first class ticket from dallas fort worth to san francisco
flight	please give me the flights from denver to pittsburgh which leave in the morning on july second
airfare	can you show me one way economy fares from dallas to atlanta
unk	please list the flights from toronto to washington dc
flight	from toronto to atlanta in the afternoon
aircraft	can you please tell me the type of aircraft used flying from atlanta to denver on eastern flight 825 leaving at 555
flight	show me the flight that leaves philadelphia in the afternoon and arrives in the evening in denver
airfare	give me fares from atlanta to baltimore
flight	what is the latest return flight from atlanta to boston
flight	show me the daily flight schedule between boston and pittsburgh
flight	dallas to san francisco leaving after 4 in the afternoon please
airfare	show me the round trip tickets from baltimore to atlanta
flight	i would like to see the daily flights from baltimore to philadelphia
flight	can you list all flights departing from toronto and landing in san diego with a stopover in denver
flight	show me all flights from philadelphia to boston on monday which serve a meal and arrive before noon
flight	show me flights from pittsburgh to atlanta on monday afternoon
flight	what flights are available thursday afternoon from baltimore to atlanta
flight	show me all flights from baltimore to san francisco
flight	what are the cheapest round trip flights from denver to pittsburgh
airfare	what 's the cheapest round trip fare between dallas and baltimore
flight	list evening flights tomorrow from phoenix to detroit
flight	i would like to fly from denver to pittsburgh and atlanta
flight	please show me flights from pittsburgh to atlanta on wednesday morning serving breakfast
flight	what flights go from newark to boston after 5 pm
flight	show me flights from boston to denver on wednesday
flight	what northwest flights stop in denver
flight	show me flights from new york to miami on a tuesday with a round trip fare less than 466 dollars
flight	from las vegas to montreal
quantity	please tell me how many nonstop flights there are from boston to atlanta
flight	flights from new york city to montreal
unk	show me all the night fares between philadelphia and san francisco
airfare	i 'd like to find the least expensive one way fare from boston to philadelphia
flight	show me saturday and sunday 's flights from milwaukee to phoenix on american airlines
flight	what flights are there from milwaukee to phoenix on saturday
flight	on friday i need to see all flights that leave atlanta and arrive in dallas before 6 pm
airfare	cheapest round trip airfare from tacoma to orlando
flight	show me all flight from san francisco to oakland
ground_fare	can you list costs of denver rental cars
unk	okay i 'd like a flight from boston to san francisco that leaves before 8 am
flight	list all flights from boston to san francisco with the maximum number of stops
flight	what are the afternoon flights leaving from dallas to san francisco on american airlines
ground_service	how do i get downtown from the toronto airport
airfare	what is the fare on continental 271 from dallas to san francisco
flight	what are the flights from atlanta to dallas
flight	list all flights on sunday from san francisco to pittsburgh nonstop
flight	can you show me the cheapest round trip flights between denver and pittsburgh
airfare	please show me round trip tickets from denver to oakland
flight	i would like to fly from boston to philadelphia next thursday
aircraft	what planes are used by twa
flight	oakland to denver
flight	show me evening flights to baltimore
airfare	how much does a first class round trip ticket from cleveland to miami on us air cost
flight	show me all flights from san francisco to boston on november tenth
unk	all flights and fares from pittsburgh to dallas round trip after 12 pm less than 1100 dollars
flight	show me all the flights between philadelphia and denver
flight	which flights depart los angeles destination charlotte that leave on a monday morning
flight	flights from memphis to las vegas on sunday
flight	please list any flight available leaving oakland california tuesday arriving philadelphia wednesday
flight	what flights go from boston to san francisco with a stop in dallas
ground_service	show me ground transportation for dallas
flight	i want to fly from miami to chicago on american airlines and arrive at around 5 o'clock in the afternoon show me all flights
flight	show me dallas to boston flights
flight	philadelphia to dallas arriving before 1 in the afternoon
flight	give me the flights from pittsburgh to los angeles on thursday evening
flight	what are the flights from milwaukee to tampa
flight	what flight from boston to atlanta arrives earliest in atlanta
flight	i 'm looking for a flight leaving denver traveling to atlanta and stopping at pittsburgh is this possible
flight	what flights are there between nashville and st. louis which are nonstop and arrive after noon and before 8 pm
aircraft	all right would you let me know type of aircraft united airlines is using on the flights from denver to san francisco i would like to know the type of aircraft that they use on these flights before 10 in the morning
flight	can you list all flights from chicago to milwaukee
flight	what flight do you have from pittsburgh to san francisco on the morning of august twenty seventh
flight	information on flights from pittsburgh to san francisco
flight	i 'd like to know what flights united airline has from dallas to san francisco
unk	how about arrivals for american in atlanta
flight	i would like to fly from atlanta to san francisco with a stopover in dallas
ground_service	can you give me information on transportation from the airport in philadelphia to downtown philadelphia
flight	i would like to book a flight on continental airlines from chicago to seattle on june first
flight	boston to denver monday
unk	i 'd like to book the cheapest flight from atlanta to denver on august first
flight	okay could you tell me what flight leaves dallas to san francisco by united airline
flight	can you list all flights from toronto to san diego
flight	please list the american airlines flights from philadelphia to dallas on tuesday october first
abbreviation	what does restriction ap 57 mean
flight	tell me about flights from indianapolis to houston
flight	where does canadian airlines international fly to
flight_time	what is the schedule of flights from boston to denver next monday
flight	list all nonstop flights from los angeles to pittsburgh which arrive before 5 pm on tuesday
airline	which airlines have connections between pittsburgh and baltimore
flight	what are the different classes that an airline offers
airfare	what are the fares for flights between atlanta and dfw
flight	what 's the cheapest flight from san francisco to boston
flight	i 'd like an early flight tomorrow from columbus to nashville
airfare	show me all first class fares from new york to miami leaving on a tuesday
flight	i want to see the cheapest flight from denver to pittsburgh
airfare	how much is a round trip fare from nashville to seattle
flight	show me flights from washington dc to san francisco with a stopover in denver
flight	please show me all round trip flights from new york to miami
flight	find travel arrangements for a one way flight from boston to pittsburgh
flight	list the flights arriving in boston from atlanta on august fifth
flight	flights from philadelphia to oakland
airline	do the airlines still offer first class
flight	show flights from memphis to las vegas
ground_service	what ground transportation is there in denver
airfare	how much does it cost to fly on american from dallas to baltimore
flight	what flights from denver to pittsburgh arrive before 8 in the morning
ground_service	show me ground transportation in denver during weekdays
flight	i need a flight to seattle leaving from baltimore making a stop in minneapolis
flight	what is the earliest flight that eastern has between boston and washington
flight	i would like to know flights on june fifteenth from long beach to columbus after 12 noon please
flight	i 'd like to make a trip between atlanta and boston i wish to know the cheapest fare
flight	i 'd like to fly continental airlines between boston and philadelphia
quantity	how many fares are there one way from tacoma to montreal
airfare	what is the cheapest fare from baltimore to dallas in any class
flight	from los angeles to phoenix on a friday
flight_no	i 'm trying to find the flight number from a flight from orlando to cleveland on us air and it arrives around 10 pm
flight	okay can you tell me the earliest flight which leaves from philadelphia to dallas
flight	list daily flights from denver to boston
unk	show flights from pittsburgh to oakland
flight	flight from denver to philadelphia
ground_service	what ground transportation is available at the baltimore airport
ground_service	what 's the ground transportation from oakland to san francisco
flight	please list the flights taking off and landing on general mitchell international airport
flight	show me all the flights between oakland and denver
airfare	okay i just want to know the cheapest fare from atlanta to boston
abbreviation	what does ea mean
airline	which airline offers the cheapest rate going from dallas to baltimore on july fourth
unk	i would like information on flights from oakland california to dallas leaving on sunday morning
flight	i want to fly from boston to baltimore
flight	what 's the earliest flight from san francisco to boston
flight	list the cheapest round trip flights from orlando to kansas city
flight	are there any nonstop flights from philadelphia to denver that arrive before 5 pm
ground_service	what does ground transportation look like in oakland
flight	is there a flight on delta airlines from boston to denver
flight	show me all flights from pittsburgh to baltimore
flight	give me the cheapest flight from dallas to baltimore on saturday
flight	leaving washington going to san francisco the latest flight
flight	what is the earliest flight from boston to atlanta
flight	do you have an american airlines flight from denver to san francisco in the early morning
flight	do you have a twa flight leaving early in the morning to san francisco from denver
flight	show me the flights from atlanta to washington dc on wednesday night and thursday morning
aircraft	what types of aircraft can i get a first class ticket from philadelphia to dallas
capacity	how many seats in a 100
ground_service	ground transportation in san jose
flight	what is the first flight arriving in montreal from toronto friday
airfare	show me round trip fares between san francisco and washington dc
flight	i need a flight on thursday before 8 am from oakland to salt lake city
airfare	show me round trip fares from baltimore to philadelphia
flight	please show me the flights from boston to san francisco
flight	can you show me evening flights from nashville to houston that serve dinner
flight	list all flights from indianapolis to seattle
flight	show me all flights from pittsburgh which leave tomorrow and arrive in boston
airline	which airlines fly from boston to washington
unk	flight information from san francisco to pittsburgh
airline	which companies fly between boston and oakland
flight	when is the first flight in the morning from boston to denver
flight	i 'd like to see the flights from pittsburgh to philadelphia
flight	i 'd like a flight from kansas city to los angeles that arrives in los angeles in the late afternoon
flight	list all flights arriving in pittsburgh monday evening from san francisco that first class
flight	show all flights from pittsburgh to oakland
flight	show me the united flights from denver to baltimore
airfare	what is the first class fare on united flight 352 from denver to boston
flight	san francisco to boston please with a stopover in denver
flight	show me a list of flights from denver to san francisco for september first 1991
flight	show me flights first class from san francisco to pittsburgh leaving on tuesday after 8 o'clock in the morning and before 12 noon
flight	i need a flight from pittsburgh to boston on wednesday the fourteenth
ground_service	ground transportation please in the city of boston between airport and downtown
flight	show last flight from philadelphia to boston
flight	list all flights from long beach to columbus on sunday
flight	what flights are there tuesday morning from dallas to atlanta
flight	show me flights on wednesday morning boston to denver for united airlines first class
abbreviation	what is fare code y mean
flight	is there a flight on united airlines from boston to denver
abbreviation	what does fare code qo mean
unk	minneapolis to phoenix on monday
flight	i want the list of daily flights from milwaukee to st. louis
flight	show me all flights from new york to milwaukee on northwest airlines departing at 720 am
ground_service	what ground transportation is available in boston
flight	list all united flights from boston to san francisco
flight	show me the flights from dulles to san francisco leaving after 6 pm
flight	flights from cincinnati to dallas departing after 718 am
flight	show me all the flights leaving baltimore
flight	is there a round trip flight from atlanta to dallas via denver
flight	i would like to book a flight for august twenty seventh with us air from baltimore to oakland what flights do you have available
unk	is there ground transportation from san diego airport to the downtown area
quantity	how many flights does delta have with a class of service code f
flight	what is the cheapest one way flight from atlanta to boston
flight	hello i would like to plan a flight from boston to denver
flight	show me all the lufthansa flights between philadelphia and denver
flight	all flights from denver to philadelphia
flight	show me the flights from san francisco to boston
flight	what nonstop flights between boston and washington arrive after 5 o'clock pm
flight	what is the earliest flight from boston to san francisco
distance	how long is the flight from atlanta to san francisco at noon on november seventh
flight	list the earliest flights from atlanta to denver on a monday
flight	flights from nashville to orlando daily
flight	do you have a delta flight to san francisco from denver on august thirtieth in the early morning
flight	flights from oakland to san francisco
flight	list flights from philadelphia to san francisco via dallas
flight	show me wednesday afternoon flights from denver to san francisco
flight	show me flights from san francisco to denver on weekdays
flight	list flights from boston to san francisco that serve only breakfast
flight	list the nonstop flights early tuesday morning from dallas to atlanta
unk	give me a flight from newark to tampa on friday
ground_service	what is the available ground transportation between san francisco and downtown
flight	show me the flights from boston to oakland
flight	show me all flights from phoenix to milwaukee next wednesday
flight	pittsburgh to denver
flight	i 'd like to fly from boston to baltimore
flight	i need a flight from los angeles to charlotte today
ground_service	what type of ground transportation is available between the airport and downtown san francisco
flight	show me the earliest flight from denver to las vegas
flight	show me the southwest airlines flights from san diego to san francisco
flight	on flight us air 2153 from san francisco to baltimore what time and what city does the plane stop in between
ground_service	tell me about ground transportation between orlando international and orlando
flight	shortest evening flight from tampa to cincinnati
flight	i 'd like to see the flights from baltimore to philadelphia
flight	i would like to fly from pittsburgh to atlanta on us air at the latest time possible in the evening
flight	what is the cheapest round trip flight from denver to atlanta
flight	please list all the flights from boston to denver which serve meals
flight	list lowest cost flight from dallas to baltimore
flight	i 'd like a flight from st. petersburg to miami on that next thursday
unk	list flights from pittsburgh to boston leaving after 3 in the afternoon
flight	what round trip flights between atlanta and denver qualify for fare code qx
flight	give me the cheapest flight from charlotte to long beach
flight	are there any flights between philadelphia and denver
flight	what flights are there from pittsburgh to los angeles
flight	i would like a flight from denver to pittsburgh
flight	show me the flights from philadelphia to dallas with a stop in atlanta
flight	what are the flights from boston to washington
flight	list all flights going from boston to atlanta before 7 o'clock am on thursday
flight	i want information on flights from atlanta to washington dc give me information on flights after 4 pm on wednesday
flight	what is the latest flight in the day from baltimore to atlanta
flight	flight leaving from oakland to salt lake city
flight	i want a list of flights from pittsburgh to baltimore on thursday that arrive in baltimore before 10 am
flight	i want a cheap from denver to atlanta
flight	what flights go from boston to denver before 10 am
flight	what flights go from boston to orlando
flight	show all flights from boston to denver on july thirty first
flight	list all daily flights between oakland and boston using american airline
flight	can i fly from boston to baltimore washington
flight	pittsburgh to atlanta wednesday
flight	give me all the flights from memphis to charlotte
abbreviation	what is ff
airfare	show me round trip fares from pittsburgh to philadelphia
flight	what is the earliest flight from washington to san francisco
flight+airfare	what are the flights and fares from boston to philadelphia
airfare	find the cheapest one way fare from boston to san francisco
unk	one way
ground_service	what kind of ground transportation is available in las vegas
flight	flights from newark new jersey to cleveland
flight	afternoon flights from boston to san francisco please that leave in the afternoon
flight	list all american airlines flights from phoenix to milwaukee on wednesday
flight	what flights leave from phoenix to anywhere
flight_time	what are the schedule of flights from boston to san francisco for august first
flight	what are the delta flights from dallas to boston
flight	show me the nonstop flights from houston to dallas
flight	find me a flight on united from boston to san francisco with a stopover in denver
airfare	what is the cost of a ticket going from denver to boston july twenty fifth 1991
flight	show me the united airlines flights from denver to baltimore leaving on june fourteenth
flight	show me the earliest flight on august second from boston to denver that serves a meal
flight	what is the earliest flight from oakland to washington dc on sunday
flight	where does delta fly to that american doesn 't
flight	is there a delta flight from denver to san francisco
flight	show me all daily flights from milwaukee to orlando
flight	what flights are there from memphis to las vegas
airfare	what is the cheapest fare between denver and boston
flight	show me the flights from philadelphia to atlanta georgia
flight	i would like to fly from boston to oakland what airlines fly from boston to oakland
flight	i want information on flights from atlanta to washington dc i want to leave wednesday after 4 pm or thursday before 9 am
flight	show me flights from new york to miami
flight	show me all the delta flights leaving pittsburgh between 12 and 4 in the afternoon
flight	i 'd like the earliest flight information from boston to san francisco with a meal
flight	list the northwest airlines flights that leave denver before noon
airfare	what is the fare on november seventh going one way from san francisco to oakland
flight	i would like flights between boston and atlanta on july eleven departing at one in the afternoon
ground_service	show me a list of rental car fares at boston airport
airline	what airlines have nonstop early afternoon flights from boston to denver
airfare	what does it cost to fly from boston to san francisco on united airlines flight 21
flight	what are the early weekday flights from san francisco to pittsburgh
flight	can i have a list of all the thursday flights from baltimore to atlanta that leave after 1 pm
airfare	what is the airfare for flights from denver to pittsburgh on delta airline
flight	could you please tell me the cheapest flight from boston to san francisco
flight	flights from san jose to st. paul
flight	are there any flights from milwaukee to tacoma on friday june eleventh
ground_service	do you have ground transportation between airport and downtown in boston
flight	i 'd like to book the cheapest one way flight from denver to pittsburgh
flight	list nonstop flights on sunday from new york to las vegas and list nonstop flights on sunday from memphis to las vegas
flight	i need a flight from denver to pittsburgh on july seventh that leaves in the afternoon
flight	flights from pittsburgh to baltimore between 10 am and 2 pm
flight	from seattle to salt lake city
flight	flight from ontario to orlando that departs 9 hours before arriving
flight	what do you have tomorrow after 5 o'clock from atlanta to san francisco
flight	show all united flights between boston and philadelphia
flight	what flights from philadelphia to atlanta
quantity	how many of delta 's night flights are first class
flight	flights from westchester county to st. paul
flight	what flights are there from tampa to charlotte
flight	what flight do you have from atlanta to dallas on august twenty seventh in the morning
flight	give me the cheapest one way flights between boston and philadelphia which arrive after noon on a tuesday
abbreviation	does dl stand for delta
flight	what flights are there from new york city to las vegas
flight	show me all flights that arrive in philadelphia from baltimore denver or pittsburgh
unk	i would like a nonstop flight from st. petersburg to charlotte leaving in the afternoon
airfare	cheapest fare from indianapolis to seattle
unk	what economy flights are available from dallas to baltimore on july twenty fifth 1991
flight_no	what is the flight number for the continental flight which leaves denver at 1220 pm and goes to san francisco
flight	i would like information on any flights from san francisco to pittsburgh arriving in pittsburgh before 8 am tuesday morning
flight	what are the flights from memphis to tacoma
flight	i 'd like to find a flight between dallas and philadelphia
airfare	show me round trip fares from san jose to salt lake city
flight	show me the flights from atlanta to philadelphia
ground_service	boston ground transportation
flight	please show me early morning flights from atlanta to philadelphia on wednesday
flight	i would like to fly from pittsburgh to atlanta
flight	i need a flight from san francisco to boston that leaves after 7 am
unk	what are all flights from pittsburgh to boston on wednesdays
flight	what are the flights on january first 1992 from boston to san francisco
flight	i would like a flight from nashville to st. louis that arrives in st. louis around 6 pm and is nonstop
flight	i would like some information on the earliest flights you have leaving atlanta arriving in denver
unk	now i need flight information leaving atlanta and arriving in baltimore in the afternoon
flight	i would like to find a flight from kansas city to salt lake city on delta and arriving at about 8 o'clock in the evening could you please tell me the aircraft and the flight number thank you
abbreviation	what is bur
flight	i want to fly from philadelphia to dallas with a stop in atlanta on a breakfast flight
flight	flights from westchester county to san francisco daily
flight	show me flights from boston to denver early am on tuesday
flight	list all flights from denver to philadelphia
flight	give me all the flights from miami to chicago on american airlines
airfare	fares and flights from denver to philadelphia
unk	show me all flights arriving at dallas
unk	what are connecting flights from chicago to seattle on june first
flight	show flights from san francisco to denver on wednesday and thursday
flight	what are the united airlines flights between baltimore and denver on august twelfth
flight	i would like direct coach flights from pittsburgh to atlanta
flight	give me flights from atlanta to baltimore
flight	show me flights from milwaukee to orlando on wednesday after 6 pm
flight	what flights are between boston and atlanta on july thirty first
flight	what is the latest flight from san francisco to boston
airline	what kind of airline is flight ua 281 from boston to denver
flight	show me flights from atlanta to washington
ground_service	what about a car rental in denver
flight	list the cheapest flight from charlotte to memphis
flight	show me all flights from pittsburgh to baltimore on thursday
flight	show me the flights on delta or twa which go through atlanta
flight	list all flights on continental leaving denver on sunday after 2134
flight	show me the flights between atlanta and washington dc for wednesdays
quantity	how many flights does twa have in business class
flight_time	please list the flight times from pittsburgh to newark
flight	what flights can i find from pittsburgh to san francisco after 9 am
flight	flights from jfk or la guardia to cleveland
flight	all flights to baltimore after 6 pm
aircraft	what type of aircraft is used flying from atlanta to denver before 12 noon
flight	please list the flights from dallas fort worth to boston on july twenty third
airfare	list the fares of us air flights from boston to philadelphia
airfare	show me the most expensive fare
flight	what flights are there on sunday from seattle to minneapolis
airfare	show business class fares from san francisco to denver on united airlines
flight	show me flights between new york city and las vegas
flight	what 's the latest flight out of denver that arrives in pittsburgh next monday
flight	give me flights without fares from atlanta to baltimore
flight	i would like information on a flight between washington and san francisco with a stopover in dallas
airfare	what is the lowest fare from denver to pittsburgh
flight	one way flights from ontario to tacoma leaving before 10 am on any day and first class
flight	information on american airlines flight from washington to philadelphia
flight	i need a flight from san francisco to boston that leaves after 8 pm
flight	is there a united flight from baltimore to san francisco on the morning of august twenty seventh
flight	what flights are available from denver to baltimore first class on united airlines arriving may seventh before noon
flight	i need a return flight from denver to atlanta
flight	i need a flight from los angeles to pittsburgh on monday afternoon
flight	i want to go between boston and washington early in the morning
ground_service	in atlanta i would like information on ground transportation
flight	show me flights which leave from boston on july twenty second arriving in pittsburgh
flight	now show me flights from pittsburgh to philadelphia
unk	show me flights to dallas from san francisco and atlanta and pittsburgh
flight	i need to go to pittsburgh and denver
abbreviation	describe fare code qx
flight	what flights leave denver before noon on northwest airlines
aircraft	what type of aircraft is used on american airline flight 315
unk	what american airlines flights depart milwaukee for phoenix on saturday or sunday
flight	show me flights from pittsburgh to san francisco on friday leaving after 12 noon
flight	give me the flights from new york city to las vegas on sunday and the flights from memphis to las vegas on sunday
ground_fare	what are the rental car rates in dallas
flight	which united flights from boston to san francisco make connections
flight	is the american flight 813 from boston to oakland a nonstop flight
flight	i 'd like also to book a one way flight from pittsburgh to atlanta the cheapest one on july twentieth
airfare	what is the least expensive one way fare between philadelphia and boston
flight	what is the earliest flight from boston to philadelphia
flight	what flights are there on wednesday evening from denver to sfo
abbreviation	what is mco
flight	show me all flights from san francisco to boston philadelphia or baltimore
airfare	show me fares from miami to new york
flight	coach class flights on twa from columbus to st. paul
ground_service	i need your help with information on ground transportation from the airport in philadelphia to downtown
flight	i would like to see the flights from baltimore to philadelphia please
aircraft	i need a plane that arrives in san francisco by 9 o'clock pm on friday and leaves from baltimore
ground_service	ground transportation in baltimore
flight	from washington dc to philadelphia departing in the afternoon
unk	i 'd like a flight tomorrow from columbus to houston with a stopover in nashville
flight	sure i want to go from philadelphia to dallas
flight+airfare	again i will repeat i want to make a one way flight from boston to atlanta will you tell me how much the fares are i would like the cheapest fare
abbreviation	what does fare code qo mean
flight	i want to go from denver to atlanta round trip and make a stop at pittsburgh is this possible
flight	what flights from atlanta to st. louis on tuesday arriving around 230 pm
ground_service	what do you know about car rental in denver
flight	show me all flights from miami to new york
flight	show me the one way flights from atlanta to pittsburgh
flight	from phoenix to las vegas on saturday
flight	show me the earliest flight from san jose to pittsburgh that serves a snack
airline	show me the airlines between boston and denver
aircraft	list types of aircraft that connect boston and san francisco
flight_no	flight numbers from columbus to minneapolis tomorrow
flight	what flights are there from newark to seattle on saturday
airfare	what is the cheapest first class fare from cleveland to miami on us air on february twenty fourth
unk	what is the earliest flight that goes from atlanta to washington on thursday
airfare	list a round trip fare from kansas city to minneapolis flights
flight	show me the flights from dallas to baltimore at economy level
flight	i need to fly between philadelphia and atlanta
flight	list flights from philadelphia to dallas that stop in atlanta
flight	are there delta flights leaving denver
flight	display all flights from toronto to san diego on us air with a layover in phoenix
flight	i want to travel from baltimore to washington on a monday
flight	what are the flights from denver to pittsburgh
flight	show all nonstop flights from boston to san francisco
abbreviation	what 's fare code yn
flight	does united have a flight from miami to washington dc on wednesday
flight	flights from new york to miami
airfare	can you show me the price of a flight to washington from atlanta on thursday morning
flight	what flights from indianapolis to memphis
ground_service	is there ground transportation from the airport to downtown phoenix
flight	what are the flights from tacoma to san jose on wednesday the nineteenth
airline	what is airline nw
flight	what flights are there on continental from seattle to chicago
flight	please show me all one way first class flights from indianapolis to memphis
flight	list all the takeoffs and landings at general mitchell airport
airline	airline that stands for dl
flight	is there a 4 o'clock flight from washington dc to denver
airfare	how much does it cost to go from downtown to logan airport
flight	give me flights from baltimore to denver on united that offer first class
flight	information on flights from atlanta to washington dc departing on thursday before 9 am
ground_service	what kind of ground transportation is there in dallas
flight	please show me flights from pittsburgh to atlanta on wednesday morning serving breakfast
flight	how do i get from pittsburgh airport to downtown pittsburgh
flight	show me flights from los angeles to pittsburgh on monday evening
flight	i need a connecting flight on continental on june fifth from chicago to seattle
flight	flights from denver to pittsburgh on thursday
airfare	what is the first class fare from indianapolis to orlando
flight	i 'd like to find the cheapest flight from boston to san francisco
flight	what flights from st. paul to kansas city on friday with breakfast served
flight	i 'm flying from boston to dallas
flight	what are the flights from kansas city to burbank on saturday may twenty two on southwest
city	where is general mitchell international located
airport	airports
capacity	how many people fit on a 72s airplane
flight	give me all flights from boston to philadelphia next week arriving after lunch
flight	what are the flights from boston to san francisco leaving tomorrow
flight	give me the continental flights from seattle
flight	list all nonstop flights on tuesday before noon from charlotte to baltimore
flight	what are the latest flights that i can take from baltimore to boston
flight	all flights from san francisco to boston leaving before noon
flight	give me the flights with the fares on december twenty seventh from indianapolis to orlando
flight	what flights from houston to milwaukee on friday on american airlines
flight	what classes of service does twa have
airline	please show me airlines with service from boston to denver
flight	i would like to book an early morning flight from tampa to charlotte on april sixth
flight	what flights does american airlines have from boston to dallas
flight	boston to pittsburgh
flight	can you list all nonstop flights between st. petersburg and charlotte that leave in the afternoon and arrive soon after 5 pm
flight	show me flights from pittsburgh to philadelphia
flight	list the round trip flights from st. paul to san jose
flight	show me the flights from atlanta to boston
ground_service	ground transport in denver
flight	flights to baltimore
flight	i need to fly from baltimore to dallas on tuesday evening
airfare	what is the airfare from pittsburgh to atlanta
flight	i would like an american airlines flight from cincinnati to burbank leaving this afternoon
airfare	how much is a us air boston to pittsburgh daily nonstop flight
flight	is there a thursday night flight from pittsburgh to san francisco on us air
flight	i 'd like to go from boston to san francisco
unk	show me all flights from denver or philadelphia or pittsburgh to baltimore
flight	show me the flights from salt lake city to milwaukee
flight	flight from denver to salt lake city
airfare	show me all economy prices from dallas to baltimore
flight	i need a flight from san francisco to pittsburgh from pittsburgh to new york and then new york to san francisco
flight	list all nonstop flights from los angeles to pittsburgh before 5 pm on tuesday
flight	is there a delta flight from boston to san francisco that stops in denver
flight	i want to fly from milwaukee to orlando on wednesday evening
flight	i 'd like to fly early tomorrow from columbus to minneapolis
airfare	what is the cost of round trip ticket first class between oakland and atlanta
airfare	how much does it cost to fly from atlanta to san francisco
flight	between boston and denver i 'd like a flight that takes the least amount of stops to get to boston
flight	what is the latest flight from milwaukee to seattle tomorrow
flight	list possible round trip daily flights between boston and oakland
flight	give me the flights from memphis tennessee to charlotte north carolina
unk	what flights can i take between boston and atlanta so that when i leave boston i will have the maximum amount of time on the ground in atlanta and still return in the same day
airfare	show me fares less than 400 dollars for flights from dallas to baltimore
city	what are the cities served by delta airlines
flight	show me the flights from chicago to indianapolis
flight	show me the flights from newark new jersey to ontario international next saturday
flight	i want a nonstop flight from indianapolis to toronto that leaves thursday morning
flight	list the flights on wednesday from denver to washington arriving in washington between 1115 am and 1245 pm
flight	give me information on flights from atlanta to washington dc leaving on thursday before 0900
airfare	what is the price of flights from indianapolis to memphis
ground_fare	what is the cost of limousine service at logan airport
flight	what flights leave chicago and arrive in detroit around 6 pm next tuesday
flight	does midwest express serve nashville
flight	i live in denver and i 'd like to make a trip to pittsburgh
flight	show me all connecting flights on united airlines between boston and san francisco
flight	i need to take ten people from phoenix to san diego please give me the flights during week days
flight	i would like to travel from washington dc to pittsburgh on august twentieth
flight	please give me the cheapest flight from denver to pittsburgh
quantity	how many flights does eastern airlines have from boston to atlanta
flight	i 'd like information on a flight from denver to san francisco on united air
flight	please list the american airlines flights from houston to milwaukee
flight	all flights from pittsburgh to philadelphia that arrive at 6 o'clock next tuesday
flight	what is the earliest flight i can get from baltimore to boston
flight	what flights from atlanta to st. louis on tuesday arriving around 230 pm
airfare	coach fares only weekdays for denver to boston
flight	what is the first flight from boston to stapleton airport for tomorrow
quantity	how many flights does twa have with business class
flight	show me flights to san francisco arriving before 1
unk	show first flight from pittsburgh to atlanta on wednesday
abbreviation	what does iah mean
flight	round trip flights from salt lake city to cincinnati nonstop flights if possible
flight	show me all the flights from philadelphia to newark
ground_service	what ground transportation is available in dallas
flight	what american airlines flights from phoenix to milwaukee depart phoenix after 6 pm on wednesday
